qid,granite_dense,bm25,splade,convex_hybrid_granite_bm25,convex_hybrid_granite_splade
PLAIN-2560,0.0,0.1290515430196899,0.14982420171299154,0.09988280114199435,0.09988280114199435
PLAIN-2570,0.0,0.0,0.0,0.0,0.0
PLAIN-2580,0.3239134396887189,0.3239134396887189,0.43929373490672136,0.3239134396887189,0.3239134396887189
PLAIN-259,0.3391602052736161,0.3391602052736161,0.3391602052736161,0.3391602052736161,0.3391602052736161
PLAIN-2590,0.5208519217106355,0.503517056429946,0.4636217287347419,0.6514049959422431,0.5099983704609768
PLAIN-2600,0.5062364171031187,0.11366150026645364,0.522296512262197,0.3103182796574789,0.5254812828139142
PLAIN-2610,0.1678842962280494,0.29420263302058774,0.1765301473433327,0.29420263302058774,0.20400787375019785
PLAIN-2620,0.28923451102419495,0.16419170618909443,0.48207449690748644,0.294477117562208,0.33277232430545106
PLAIN-2630,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584
PLAIN-2640,0.13886244387355454,0.07839826897867533,0.22009176629808017,0.13886244387355454,0.11004588314904008
PLAIN-2650,0.8211494915788773,0.34158460547379954,0.7028731195751513,0.6508232640352719,0.8691675529558468
PLAIN-2660,0.41618115554873086,0.6713860725233041,0.9134015924715543,0.6508205185601091,0.7039180890341347
PLAIN-2670,0.16195671984435944,0.0,0.0,0.16195671984435944,0.20436662668128655
PLAIN-2680,0.3239134396887189,0.5282800663700055,0.5880534728737216,0.5880534728737216,0.5880534728737216
PLAIN-2690,0.15537907391531905,0.0,0.13956838328637605,0.12025967902718647,0.15537907391531905
PLAIN-270,0.0,0.0,0.0,0.0,0.0
PLAIN-2700,0.4421737401252939,0.3066803587003303,0.4941176975406503,0.5306028917311881,0.4837869006383635
PLAIN-2710,0.0,0.0,0.0,0.0,0.0
PLAIN-2720,0.0,0.0,0.06362078819895171,0.0,0.0
PLAIN-2730,0.33444708645773824,0.23170768250378496,0.16195671984435944,0.4312995836091173,0.2856932557852381
